GRADES,BEDTIME,HOURSLEEP,BIRTH_YR,BORNUSA,SCREENTIME,AGE
Mostly B's and C's,Sometimes,8 hours,2011,Yes,3 hours,12
Mostly A's,Always,10 hours,2009,Yes,4 or > hours,14
Mostly B's and C's,Usually,10 hours,2006,Yes,3 hours,17
Mostly A's and B's,Usually,10 hours,2010,Yes,3 hours,13
Mostly A's and B's,Usually,10 hours,2012,Yes,4 or > hours,11
Mostly A's and B's,Always,9 hours,2008,Yes,2 hours,15
Mostly A's,Sometimes,9 hours,2008,No,3 hours,15
Mostly A's and B's,Always,11 hours,2010,Yes,4 or > hours,13
Mostly A's and B's,Always,10 hours,2015,Yes,4 or > hours,8
Mostly A's and B's,Usually,8 hours,2010,Yes,1 hour,13
Mostly A's,Usually,10 hours,2013,Yes,4 or > hours,10
Mostly A's,Usually,8 hours,2006,Yes,4 or > hours,17
This child's school does not give these grades,Always,9 hours,2013,Yes,3 hours,10
Mostly A's and B's,Usually,9 hours,2010,Yes,2 hours,13
This child's school does not give these grades,Always,9 hours,2014,Yes,1 hour,9
Mostly A's,Always,10 hours,2010,Yes,2 hours,13
Mostly A's,Usually,12 or more hours,2012,Yes,4 or > hours,11
This child's school does not give these grades,Always,10 hours,2017,Yes,2 hours,6
Mostly A's,Sometimes,8 hours,2005,Yes,4 or > hours,18
Mostly A's and B's,Always,11 hours,2007,Yes,3 hours,16
Mostly A's and B's,Sometimes,10 hours,2009,Yes,4 or > hours,14
Mostly A's and B's,Always,9 hours,2009,Yes,4 or > hours,14
This child's school does not give these grades,Rarely,9 hours,2016,Yes,1 hour,7
Mostly B's and C's,Usually,8 hours,2009,Yes,2 hours,14
Mostly A's and B's,Always,10 hours,2015,Yes,2 hours,8
Mostly A's and B's,Usually,9 hours,2008,Yes,1 hour,15
Mostly A's,Usually,9 hours,2007,Yes,1 hour,16
Mostly A's,Usually,11 hours,2015,Yes,2 hours,8
Mostly A's,Always,9 hours,2005,Yes,4 or > hours,18
Mostly A's,Sometimes,9 hours,2007,Yes,4 or > hours,16
Mostly A's and B's,Usually,9 hours,2007,Yes,1 hour,16
Mostly C's and D's,Always,10 hours,2008,Yes,3 hours,15
Mostly A's and B's,Usually,8 hours,2017,Yes,3 hours,6
Mostly B's and C's,Usually,12 or more hours,2017,Yes,2 hours,6
